"Date","Avg.Wind","Precipitation","Temp.Max","Temp.Min","DAILY_AQI_VALUE"
2010-01-01,0.89,0,70,51,22
2010-01-02,0.89,0,78,50,20
2010-01-03,1.34,0,79,54,28
2010-01-04,2.24,0,77,56,14
2010-01-05,1.57,0,78,54,15
2010-01-06,0.67,0,76,52,8
2010-01-07,0.45,0,74,49,6
2010-01-08,0.67,0,79,51,13
2010-01-09,1.12,0,77,58,16
2010-01-10,0.67,0,77,54,20
2010-01-11,0.67,0,81,52,15
2010-01-12,0.45,0,73,53,13
2010-01-13,2.46,0.16,66,54,21
2010-01-14,1.12,0,74,51,16
2010-01-15,0.22,0,76,50,15
2010-01-16,0.45,0,71,54,18
2010-01-17,0.89,0.31,66,54,27
2010-01-18,4.7,1.12,62,56,21
2010-01-19,4.25,0.61,58,50,13
2010-01-20,4.92,1.2,59,51,17
2010-01-21,5.37,0.97,58,50,30
2010-01-22,1.12,0.37,53,46,14
2010-01-23,0.89,0,60,42,28
2010-01-24,0.89,0,64,43,31
2010-01-25,1.34,0,67,46,18
2010-01-26,2.01,0.2,61,47,9
2010-01-27,0.89,0,69,54,19
2010-01-28,0.45,0,71,50,23
2010-01-29,0.45,0,68,50,14
2010-01-30,0.89,0,64,48,29
2010-01-31,0.45,0,66,47,25
2010-02-01,0.67,0,68,50,16
2010-02-02,1.12,0,66,54,18
2010-02-03,0.89,0,70,49,23
2010-02-04,3.13,0,65,55,25
2010-02-05,6.71,0.94,58,54,27
2010-02-06,2.24,1.91,63,51,29
2010-02-07,0.89,0,64,45,33
2010-02-08,0.89,0,64,49,23
2010-02-09,1.57,0.44,59,45,17
2010-02-10,0.89,0,65,40,19
2010-02-11,1.12,0,65,50,22
2010-02-12,0.67,0,67,50,21
2010-02-13,0.22,0,75,49,28
2010-02-14,1.12,0,81,52,35
2010-02-15,0.45,0,82,57,32
2010-02-16,1.34,0,84,57,25
2010-02-17,1.12,0,80,55,26
2010-02-18,0.89,0,69,56,27
2010-02-19,1.79,0.09,64,54,27
2010-02-20,1.34,0.05,64,52,35
2010-02-21,2.91,0.03,65,54,30
2010-02-22,2.24,0,70,52,33
2010-02-23,1.34,0,69,47,26
2010-02-24,1.12,0.01,66,53,16
2010-02-25,1.12,0,70,53,21
2010-02-26,1.79,0,75,56,25
2010-02-27,2.91,0.8,63,52,32
2010-02-28,1.34,0,68,47,31
2010-03-01,1.12,0,71,52,29
2010-03-02,1.12,0,67,56,32
2010-03-03,2.01,0.06,66,54,32
2010-03-04,1.34,0,64,49,37
2010-03-05,1.79,0,68,49,36.3333333333333
2010-03-06,2.01,0.42,62,52,35.6666666666667
2010-03-07,1.12,0,66,50,35
2010-03-08,2.01,0,66,54,31
2010-03-09,4.47,0,62,49,35
2010-03-10,4.03,0,64,50,39
2010-03-11,1.12,0,68,47,38.5
2010-03-12,1.12,0,71,49,38
2010-03-13,0.89,0,66,52,30
2010-03-14,0.89,0,71,49,41
2010-03-15,1.12,0,82,49,36
2010-03-16,2.46,0,88,58,40.5
2010-03-17,1.57,0,87,61,45
2010-03-18,2.01,0,78,59,40
2010-03-19,0.89,0,74,55,28
2010-03-20,1.34,0,81,54,43
2010-03-21,0.45,0,80,52,44
2010-03-22,0.89,0,72,53,26
2010-03-23,2.01,0,73,57,37
2010-03-24,1.12,0,75,55,33
2010-03-25,1.57,0,67,55,36
2010-03-26,2.46,0,73,53,31
2010-03-27,0.67,0,83,53,44
2010-03-28,2.24,0,85,58,51
2010-03-29,1.57,0,81,57,36
2010-03-30,2.68,0,68,58,31
2010-03-31,2.01,0,66,53,38
2010-04-01,2.46,0,64,50,40
2010-04-02,2.46,0,69,52,39
2010-04-03,2.01,0,70,53,39
2010-04-04,2.24,0.03,65,53,42
2010-04-05,4.47,0.57,64,53,36
2010-04-06,1.12,0,72,49,35
2010-04-07,2.01,0,82,52,42
2010-04-08,1.79,0,84,58,43
2010-04-09,2.01,0,76,57,36
2010-04-10,0.89,0,67,57,44
2010-04-11,4.25,0.72,64,54,42
2010-04-12,3.13,0.19,65,52,41
2010-04-13,1.34,0,67,50,37
2010-04-14,1.57,0,70,52,39
2010-04-15,1.79,0,73,53,41
2010-04-16,1.79,0,72,54,45.3333333333333
2010-04-17,1.34,0,76,55,49.6666666666667
2010-04-18,2.01,0,76,55,54
2010-04-19,1.79,0,73,58,42
2010-04-20,2.24,0.11,68,52,33
2010-04-21,4.03,0,63,48,34
2010-04-22,1.12,0,61,49,32.5
2010-04-23,1.34,0,69,49,31
2010-04-24,1.34,0,70,55,43
2010-04-25,1.34,0,75,54,50
2010-04-26,2.01,0,73,55,46
2010-04-27,1.12,0.01,67,58,40
2010-04-28,3.13,0.02,67,57,36
2010-04-29,7.16,0,70,55,42
2010-04-30,4.03,0,75,55,35
2010-05-01,2.46,0,73,56,36
2010-05-02,2.91,0,74,59,38
2010-05-03,1.34,0,81,57,41
2010-05-04,1.12,0,79,57,44
2010-05-05,1.12,0,74,59,43
2010-05-06,1.34,0,75,58,45
2010-05-07,1.12,0,79,58,58
2010-05-08,1.57,0,77,59,50
2010-05-09,2.01,0,68,57,34
2010-05-10,3.13,0,69,55,35
2010-05-11,3.13,0,69,53,39
2010-05-12,1.34,0,74,55,33
2010-05-13,1.12,0,76,58,34
2010-05-14,2.01,0,73,58,34
2010-05-15,1.34,0,73,58,44
2010-05-16,2.01,0,73,58,58
2010-05-17,0.89,0,64,58,28
2010-05-18,1.79,0.03,69,57,20
2010-05-19,1.12,0,74,59,30
2010-05-20,1.34,0,78,59,32
2010-05-21,2.68,0,73,59,39
2010-05-22,2.01,0,71,56,40
2010-05-23,4.25,0,67,56,38
2010-05-24,2.91,0,70,56,35
2010-05-25,2.24,0,72,54,32
2010-05-26,1.79,0,71,58,32
2010-05-27,1.57,0.02,69,58,27
2010-05-28,1.79,0,72,55,31
2010-05-29,2.01,0,81,57,47
2010-05-30,1.79,0,84,60,77
2010-05-31,1.79,0,79,61,48
2010-06-01,1.12,0,75,61,41
2010-06-02,1.79,0,75,61,43
2010-06-03,1.34,0,77,60,41
2010-06-04,0.89,0,77,63,44
2010-06-05,1.34,0,81,64,84
2010-06-06,1.57,0,81,65,48
2010-06-07,1.57,0,77,64,33
2010-06-08,1.34,0,74,64,29
2010-06-09,1.79,0,75,64,40
2010-06-10,2.01,0,75,65,38
2010-06-11,1.79,0,74,63,35
2010-06-12,1.79,0,75,63,38
2010-06-13,1.79,0,75,62,43
2010-06-14,2.01,0,79,61,45
2010-06-15,1.12,0,81,63,25
2010-06-16,2.01,0,78,63,33
2010-06-17,1.57,0,78,61,46
2010-06-18,1.57,0,78,62,43
2010-06-19,1.57,0,78,61,42
2010-06-20,1.34,0,79,60,48
2010-06-21,1.79,0,75,61,34
2010-06-22,1.79,0,78,62,41
2010-06-23,1.34,0,78,61,43
2010-06-24,1.79,0,80,62,44
2010-06-25,2.01,0,78,63,44
2010-06-26,2.24,0,76,64,35
2010-06-27,0.89,0,79,64,45
2010-06-28,1.34,0,78,64,32
2010-06-29,1.34,0,73,63,34
2010-06-30,1.79,0,76,63,37
2010-07-01,1.57,0,77,63,40
2010-07-02,1.79,0,77,62,43
2010-07-03,1.12,0,77,64,41
2010-07-04,2.46,0,77,63,40
2010-07-05,1.34,0,75,63,40
2010-07-06,1.79,0,72,62,36
2010-07-07,1.57,0,71,62,37
2010-07-08,1.34,0,70,63,32
2010-07-09,1.12,0,74,62,35
2010-07-10,1.34,0,81,64,48
2010-07-11,1.34,0,79,64,48
2010-07-12,2.01,0,75,64,33
2010-07-13,1.79,0,86,64,30
2010-07-14,1.34,0,94,67,40
2010-07-15,1.34,0,92,71,41
2010-07-16,1.12,0,95,70,77
2010-07-17,1.34,0,90,69,45
2010-07-18,1.34,0,87,68,43
2010-07-19,1.57,0,86,68,30
2010-07-20,1.12,0,80,65,32
2010-07-21,1.12,0,78,66,29
2010-07-22,1.34,0,77,66,33
2010-07-23,2.01,0,77,63,37
2010-07-24,2.01,0,78,62,40
2010-07-25,1.57,0,78,64,42
2010-07-26,1.12,0,76,63,35
2010-07-27,1.34,0,73,63,34
2010-07-28,2.01,0,75,62,31
2010-07-29,2.01,0,78,61,36
2010-07-30,1.12,0,76,62,40
2010-07-31,0.67,0,81,63,46
2010-08-01,1.12,0,79,61,47
2010-08-02,1.12,0,80,59,39
2010-08-03,0.89,0,84,61,33
2010-08-04,2.01,0,80,62,34
2010-08-05,2.01,0,80,62,38
2010-08-06,1.79,0,80,62,38
2010-08-07,1.57,0,79,63,39
2010-08-08,1.12,0,78,63,43
2010-08-09,1.12,0,77,62,39
2010-08-10,1.57,0,79,63,40
2010-08-11,1.57,0,78,63,39
2010-08-12,1.34,0,78,61,34
2010-08-13,1.57,0,78,62,29
2010-08-14,2.01,0,80,61,35
2010-08-15,1.57,0,81,60,37
2010-08-16,1.12,0,83,63,42
2010-08-17,0.67,0,93,69,54
2010-08-18,1.57,0,94,71,54
2010-08-19,1.12,0,90,67,39
2010-08-20,1.79,0,88,65,39
2010-08-21,1.12,0,86,64,41
2010-08-22,0.89,0,91,66,49
2010-08-23,NA,0,98,65,80
2010-08-24,NA,0,94,71,42
2010-08-25,0.89,0,90,69,43
2010-08-26,0.67,0,87,67,34
2010-08-27,1.12,0,83,65,31
2010-08-28,1.34,0,77,66,38
2010-08-29,NA,0,73,65,40
2010-08-30,1.34,0,78,64,31
2010-08-31,1.34,0,82,62,41
2010-09-01,1.57,0,83,61,39
2010-09-02,1.34,0,85,61,47.3333333333333
2010-09-03,1.12,0,83,61,55.6666666666667
2010-09-04,1.34,0,90,63,64
2010-09-05,0.89,0,86,62,44
2010-09-06,1.57,0,80,66,39
2010-09-07,0.89,0,73,66,20
2010-09-08,2.68,0,73,66,28
2010-09-09,1.57,0,78,63,31
2010-09-10,2.01,0,79,60,31
2010-09-11,1.79,0,74,60,40
2010-09-12,0.67,0,77,60,45
2010-09-13,NA,0,80,61,40
2010-09-14,NA,0,83,64,34
2010-09-15,1.12,0,81,60,32
2010-09-16,1.12,0,79,59,25
2010-09-17,1.12,0,78,59,31
2010-09-18,0.67,0,81,60,43
2010-09-19,1.34,0,80,58,37
2010-09-20,0.89,0,80,62,25
2010-09-21,1.12,0,72,64,31
2010-09-22,1.12,0,75,63,37
2010-09-23,1.34,0,83,60,37
2010-09-24,1.12,0,94,62,49
2010-09-25,0.89,0,98,66,84
2010-09-26,0.67,0,105,68,133
2010-09-27,NA,0,113,77,49
2010-09-28,NA,0,99,78,34
2010-09-29,0.89,0,92,72,34
2010-09-30,0.89,0,94,70,39
2010-10-01,0.89,0,90,71,30
2010-10-02,0.89,0,90,68,44
2010-10-03,1.12,0,80,66,38
2010-10-04,0.45,0.1,68,61,17
2010-10-05,4.25,0,71,62,24
2010-10-06,1.79,0.3,70,62,19
2010-10-07,2.01,0,75,62,34
2010-10-08,1.12,0,81,59,29
2010-10-09,1.57,0,88,62,49
2010-10-10,0.89,0,93,63,61
2010-10-11,0.89,0,88,67,37
2010-10-12,0.45,0,82,66,29
2010-10-13,0.22,0,80,65,25
2010-10-14,0.67,0,77,66,29
2010-10-15,0.45,0,74,67,29
2010-10-16,0.45,0,71,67,28
2010-10-17,0.67,0.01,69,65,29
2010-10-18,0.45,0,71,65,14
2010-10-19,0.67,0.04,74,64,19
2010-10-20,1.34,0.06,69,65,25
2010-10-21,1.12,0,70,65,26
2010-10-22,1.12,0.02,69,60,28
2010-10-23,0.89,0,70,60,28
2010-10-24,1.12,0.12,71,57,27
2010-10-25,3.36,0.08,74,61,35
2010-10-26,2.01,0,72,56,26
2010-10-27,1.12,0,82,55,29
2010-10-28,1.57,0,84,58,31
2010-10-29,1.34,0,79,55,26
2010-10-30,2.68,0.21,68,56,32
2010-10-31,0.45,0,68,54,27
2010-11-01,0,0,84,54,24
2010-11-02,0.89,0,90,58,25
2010-11-03,1.12,0,97,63,22
2010-11-04,1.12,0,96,65,25
2010-11-05,0.89,0,88,65,24
2010-11-06,2.01,0,74,59,31
2010-11-07,0.89,0,69,57,29
2010-11-08,3.8,0.16,68,55,34
2010-11-09,0.45,0,68,49,21
2010-11-10,1.12,0,66,48,19
2010-11-11,2.24,0,74,50,25
2010-11-12,1.12,0,76,47,17
2010-11-13,0.67,0,81,51,20
2010-11-14,0.67,0,78,52,30
2010-11-15,0.67,0,76,53,22
2010-11-16,0,0,70,51,22
2010-11-17,0.22,0,71,54,16
2010-11-18,1.57,0,69,50,29
2010-11-19,0.22,0.01,62,57,20
2010-11-20,2.46,0.03,64,50,30
2010-11-21,3.58,0.21,61,49,31
2010-11-22,0.89,0,61,45,24
2010-11-23,2.01,0,61,48,25
2010-11-24,1.57,0,60,47,24
2010-11-25,0.45,0,63,42,27
2010-11-26,0.67,0,68,44,26
2010-11-27,0.89,0.12,62,41,21
2010-11-28,4.7,0,58,44,33
2010-11-29,1.12,0,63,43,18
2010-11-30,0.67,0,67,39,17
2010-12-01,2.01,0,73,48,12
2010-12-02,0,0,74,47,6
2010-12-03,0.22,0,71,48,7
2010-12-04,0.67,0,64,50,5
2010-12-05,1.12,0.29,68,50,14
2010-12-06,0.45,0.03,68,51,13
2010-12-07,0.45,0,77,48,14
2010-12-08,0,0,73,49,6
2010-12-09,0.22,0,69,49,4
2010-12-10,1.57,0,73,51,7
2010-12-11,0.67,0,78,51,12
2010-12-12,1.12,0,85,58,20
2010-12-13,0.67,0,80,52,9
2010-12-14,0.89,0,60,51,12
2010-12-15,1.12,0,61,54,4
2010-12-16,0.45,0.03,63,53,18
2010-12-17,5.82,0.27,57,53,10
2010-12-18,3.58,1.19,61,57,21
2010-12-19,2.91,2.8,63,57,22
2010-12-20,1.12,1.32,61,54,19
2010-12-21,2.91,0.89,58,53,11
2010-12-22,2.01,1.7,61,52,18
2010-12-23,0.67,0,62,50,19
2010-12-24,0.67,0,68,47,18
2010-12-25,1.34,0.63,62,47,28
2010-12-26,0.89,0.27,63,48,14
2010-12-27,0,0,67,43,12
2010-12-28,1.12,0,66,45,11
2010-12-29,2.68,0.81,57,49,32
2010-12-30,6.04,0,55,45,32
2010-12-31,1.12,0,57,37,31.5
2011-01-01,2.24,0,59,45,31
2011-01-02,2.91,0.47,52,45,15
2011-01-03,2.01,0.11,57,44,12
2011-01-04,1.12,0,64,43,21
2011-01-05,1.12,0,67,46,8
2011-01-06,1.12,0,70,51,10
2011-01-07,0.67,0,63,49,10
2011-01-08,0.89,0,60,51,21
2011-01-09,0.45,0,60,48,29
2011-01-10,0.67,0,63,45,19
2011-01-11,1.12,0,64,50,8
2011-01-12,0.89,0,72,48,13
2011-01-13,0.89,0,75,52,18
2011-01-14,0,0,80,51,7
2011-01-15,0.22,0,82,51,26
2011-01-16,0.22,0,81,52,20
2011-01-17,0.45,0,84,55,11
2011-01-18,NA,0,82,60,17
2011-01-19,0.22,0,70,53,14
2011-01-20,0,0,77,50,18
2011-01-21,0.89,0,75,49,17
2011-01-22,0.67,0,71,48,15
2011-01-23,0.67,0,77,48,31
2011-01-24,0.45,0,75,47,16
2011-01-25,0.45,0,76,49,12
2011-01-26,0.89,0,77,48,12
2011-01-27,0.22,0,75,47,14
2011-01-28,0.67,0,74,49,16
2011-01-29,1.12,0,67,45,27
2011-01-30,1.34,0.21,58,49,24
2011-01-31,NA,0,65,45,18
2011-02-01,NA,0,63,49,20
2011-02-02,0.45,0,64,41,22
2011-02-03,0.45,0,62,39,23
2011-02-04,0.67,0,66,43,17
2011-02-05,0.22,0,67,45,13
2011-02-06,0.45,0,76,49,28
2011-02-07,0.89,0,79,51,23
2011-02-08,1.57,0,67,53,24
2011-02-09,0.89,0,70,48,30
2011-02-10,0.45,0,69,44,20
2011-02-11,1.12,0,75,47,24
2011-02-12,2.46,0,80,52,28
2011-02-13,0.89,0,71,50,31
2011-02-14,1.79,0,65,49,28
2011-02-15,1.79,0,64,54,12
2011-02-16,3.8,0.65,62,48,31
2011-02-17,1.12,0,60,43,31
2011-02-18,5.59,0.53,62,50,30
2011-02-19,2.01,0.91,58,45,34
2011-02-20,0.67,0,59,41,31
2011-02-21,1.12,0,60,44,31
2011-02-22,1.57,0,62,43,31
2011-02-23,2.01,0,61,45,30
2011-02-24,0.67,0,60,44,31
2011-02-25,1.12,0.97,57,50,29
2011-02-26,3.36,0.23,56,43,34
2011-02-27,2.24,0,58,42,32
2011-02-28,1.57,0,66,41,29
2011-03-01,0.89,0,63,43,24
2011-03-02,0.67,0.15,65,47,15
2011-03-03,1.57,0.01,67,52,23
2011-03-04,1.57,0,75,52,15
2011-03-05,1.57,0,79,53,40
2011-03-06,1.79,0,63,51,28
2011-03-07,4.92,0,67,54,39
2011-03-08,2.24,0,70,52,27
2011-03-09,1.34,0,85,53,31
2011-03-10,0.89,0,80,53,29
2011-03-11,0.67,0,71,52,24
2011-03-12,1.12,0,66,51,31
2011-03-13,1.12,0,68,50,34
2011-03-14,1.12,0,72,51,21
2011-03-15,1.12,0,76,56,21
2011-03-16,0.89,0,70,54,21
2011-03-17,0.67,0,71,54,29
2011-03-18,2.01,0,68,51,35
2011-03-19,1.57,0.03,60,52,42
2011-03-20,5.82,2.42,56,50,35
2011-03-21,1.79,0.16,58,48,37
2011-03-22,2.01,0,61,47,37
2011-03-23,2.01,0.39,62,46,29
2011-03-24,2.68,0.15,62,44,34
2011-03-25,2.68,0.46,62,50,40
2011-03-26,1.12,0,59,49,37
2011-03-27,2.46,0.19,64,53,31
2011-03-28,1.12,0,67,50,28
2011-03-29,1.57,0,71,50,26
2011-03-30,1.12,0,81,53,32
2011-03-31,0.89,0,92,58,39
2011-04-01,2.01,0,89,61,43
2011-04-02,0.89,0,69,59,28
2011-04-03,1.34,0,67,57,30
2011-04-04,0.89,0,79,54,34
2011-04-05,1.57,0,72,55,39
2011-04-06,0.89,0,71,57,38
2011-04-07,5.37,0,64,50,43
2011-04-08,2.68,0,58,45,43.5
2011-04-09,2.24,0,61,45,44
2011-04-10,3.13,0,68,51,48
2011-04-11,1.79,0,71,51,42
