STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT05,WT07,WT08,WT09,WT13,WT16\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/1/10,0.89,1210,1220,0,,,,70,51,270,280,8.1,12.1,,,,,,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/2/10,0.89,2220,2219,0,,,,78,50,10,30,6.9,10.1,,,,,,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/3/10,1.34,2234,2234,0,,,,79,54,20,10,6,8.9,,,,,,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/4/10,2.24,1533,1025,0,,,,77,56,270,30,6,12.1,,,,,1,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/5/10,1.57,1437,1436,0,,,,78,54,270,270,12.1,17,,,,,,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/6/10,0.67,1540,1436,0,,,,76,52,280,270,6,8.9,,,,,,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/7/10,0.45,1533,1517,0,,,,74,49,270,280,6,10.1,1,,,1,1,,1,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/8/10,0.67,2314,1156,0,,,,79,51,10,110,4.9,8.1,1,,,1,1,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/9/10,1.12,1113,1010,0,,,,77,58,20,10,6,8.9,,,,,1,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/10/10,0.67,1346,1341,0,,,,77,54,260,270,6.9,12.1,,,,,,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/11/10,0.67,1521,1459,0,,,,81,52,270,250,4.9,10.1,,,,,,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/12/10,0.45,1625,2027,0,,,,73,53,270,260,6.9,8.1,1,,,1,1,,1,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/13/10,2.46,1639,1631,0.16,,,,66,54,270,270,10.1,21,1,,1,1,1,,1,    1\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/14/10,1.12,1033,1037,0,,,,74,51,90,140,6.9,12.1,,,,1,1,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/15/10,0.22,1321,1437,0,,,,76,50,260,270,6,8.9,,,,,1,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/16/10,0.45,1634,1555,0,,,,71,54,270,270,8.1,14.1,,,,,,,,\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/17/10,0.89,2303,1326,0.31,,,,66,54,100,270,6.9,12.1,1,,1,,,,1,    1\
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,1/18/10,4.7,1222,1222,1.12,,,,62,56,140,150,16.1,29.1,1,,1,,1,,1,    1\
